feature,gain
ohe__CodArticulo_00000008136,0.0
ohe__CodArticulo_00000008134,0.0
ohe__CodArticulo_00000008133,0.0
ohe__CodArticulo_00000008446,0.0
ohe__CodArticulo_00000008445,0.0
ohe__CodArticulo_00000008444,0.0
ohe__CodArticulo_00000008443,0.0
ohe__CodArticulo_00000008442,0.0
ohe__CodArticulo_00000008441,0.0
ohe__CodArticulo_00000008420,0.0
ohe__CodArticulo_00000008419,0.0
ohe__CodArticulo_00000008417,0.0
ohe__CodArticulo_00000008394,0.0
ohe__CodArticulo_00000008389,0.0
ohe__CodArticulo_00000008387,0.0
ohe__CodArticulo_00000008384,0.0
ohe__CodArticulo_00000008373,0.0
ohe__CodArticulo_00000008372,0.0
ohe__CodArticulo_00000008371,0.0
ohe__CodArticulo_00000008480,0.0
ohe__CodArticulo_00000008479,0.0
ohe__CodArticulo_00000008469,0.0
ohe__CodArticulo_00000008467,0.0
ohe__CodArticulo_00000008466,0.0
ohe__CodArticulo_00000008465,0.0
ohe__CodArticulo_00000008464,0.0
ohe__CodArticulo_00000008463,0.0
ohe__CodArticulo_00000008460,0.0
ohe__CodArticulo_00000008458,0.0
ohe__CodArticulo_00000008457,0.0
ohe__CodArticulo_00000008456,0.0
ohe__CodArticulo_00000008455,0.0
ohe__CodArticulo_00000008454,0.0
ohe__CodArticulo_00000008453,0.0
ohe__CodArticulo_00000008447,0.0
ohe__CodArticulo_00000008505,0.0
ohe__CodArticulo_00000008503,0.0
ohe__CodArticulo_00000008502,0.0
ohe__CodArticulo_00000008501,0.0
ohe__CodArticulo_00000008500,0.0
ohe__CodArticulo_00000008499,0.0
ohe__CodArticulo_00000008496,0.0
ohe__CodArticulo_00000008494,0.0
ohe__CodArticulo_00000008493,0.0
ohe__CodArticulo_00000008492,0.0
ohe__CodArticulo_00000008491,0.0
ohe__CodArticulo_00000008490,0.0
ohe__CodArticulo_00000008489,0.0
ohe__CodArticulo_00000008483,0.0
ohe__CodArticulo_00000008482,0.0
ohe__CodArticulo_00000008481,0.0
ohe__CodArticulo_00000008710,0.0
ohe__CodArticulo_00000008709,0.0
ohe__CodArticulo_00000008708,0.0
ohe__CodArticulo_00000008707,0.0
ohe__CodArticulo_00000008703,0.0
ohe__CodArticulo_00000008702,0.0
ohe__CodArticulo_00000008676,0.0
ohe__CodArticulo_00000008673,0.0
ohe__CodArticulo_00000008659,0.0
ohe__CodArticulo_00000008658,0.0
ohe__CodArticulo_00000008642,0.0
ohe__CodArticulo_00000008638,0.0
ohe__CodArticulo_00000008630,0.0
ohe__CodArticulo_00000008595,0.0
ohe__CodArticulo_00000008568,0.0
ohe__CodArticulo_00000008546,0.0
ohe__CodArticulo_00000008843,0.0
ohe__CodArticulo_00000008841,0.0
ohe__CodArticulo_00000008817,0.0
ohe__CodArticulo_00000008816,0.0
ohe__CodArticulo_00000008806,0.0
ohe__CodArticulo_00000008793,0.0
ohe__CodArticulo_00000008782,0.0
ohe__CodArticulo_00000008781,0.0
ohe__CodArticulo_00000008774,0.0
ohe__CodArticulo_00000008771,0.0
ohe__CodArticulo_00000008764,0.0
ohe__CodArticulo_00000008763,0.0
ohe__CodArticulo_00000008756,0.0
ohe__CodArticulo_00000008741,0.0
ohe__CodArticulo_00000008728,0.0
ohe__CodArticulo_00000008727,0.0
ohe__CodArticulo_00000008966,0.0
ohe__CodArticulo_00000008965,0.0
